ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 1990-91,Locale [Public School] 1989-90,Locale [Public School] 1988-89,Locale [Public School] 1987-88,Locale [Public School] 1986-87,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1989-90,Total Students All Grades (Excludes AE) [Public School] 1988-89,Total Students All Grades (Excludes AE) [Public School] 1987-88,Total Students All Grades (Excludes AE) [Public School] 1986-87,Free Lunch Eligible [Public School] 1990-91,Free Lunch Eligible [Public School] 1989-90,Free Lunch Eligible [Public School] 1988-89,Free Lunch Eligible [Public School] 1987-88,American Indian/Alaska Native Students [Public School] 1990-91,American Indian/Alaska Native Students [Public School] 1989-90,American Indian/Alaska Native Students [Public School] 1988-89,American Indian/Alaska Native Students [Public School] 1987-88,Asian or Asian/Pacific Islander Students [Public School] 1990-91,Asian or Asian/Pacific Islander Students [Public School] 1989-90,Asian or Asian/Pacific Islander Students [Public School] 1988-89,Asian or Asian/Pacific Islander Students [Public School] 1987-88,Hispanic Students [Public School] 1990-91,Hispanic Students [Public School] 1989-90,Hispanic Students [Public School] 1988-89,Hispanic Students [Public School] 1987-88,Black or African American Students [Public School] 1990-91,Black or African American Students [Public School] 1989-90,Black or African American Students [Public School] 1988-89,Black or African American Students [Public School] 1987-88,White Students [Public School] 1990-91,White Students [Public School] 1989-90,White Students [Public School] 1988-89,White Students [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1990-91,Full-Time Equivalent (FTE) Teachers [Public School] 1989-90,Full-Time Equivalent (FTE) Teachers [Public School] 1988-89,Full-Time Equivalent (FTE) Teachers [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1986-87
TRAVIS MIDDLE,Texas,482442002739,4824420,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,816,732,721,721,741,–,†,†,†,2,2,1,2,67,32,37,38,147,108,87,79,75,72,54,47,525,518,542,555,44.50,44.00,†,44.00,44.60
TRAVIS MIDDLE,Texas,483618004069,4836180,6-Small town,6-Small town,6-Small town,6-Small town,†,143,138,120,121,113,–,†,†,†,2,1,="0",†,="0",="0",1,1,30,24,19,25,7,10,15,9,104,103,85,86,10.90,11.00,†,10.00,10.00
TRAVIS MIDDLE,Texas,482967003343,4829670,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,653,726,733,753,790,–,†,†,†,="0",="0",="0",†,2,1,1,†,617,685,681,700,="0",2,1,†,34,38,50,53,49.10,49.00,†,55.00,56.10
TRAVIS MIDDLE,Texas,481248000752,4812480,6-Small town,6-Small town,6-Small town,6-Small town,†,590,515,522,562,652,–,†,†,†,="0",="0",="0",†,26,18,16,16,288,253,248,259,17,16,17,17,259,228,241,270,16.80,37.00,†,24.00,43.40
TRAVIS PRI,Texas,484182004771,4841820,6-Small town,6-Small town,6-Small town,6-Small town,†,446,433,419,353,369,–,†,†,†,2,="0",="0",†,4,3,4,3,29,24,8,9,42,46,56,52,369,360,351,289,22.90,23.00,†,18.00,17.00
TRAVIS SCIENCE ACADEMY,Texas,484233004829,4842330,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,669,773,770,780,665,–,†,†,†,="0",="0",="0",†,12,14,12,9,122,137,149,125,169,193,175,205,366,429,434,441,50.00,50.00,†,47.00,43.20
TRAVIS STATE SCHOOL ELEMENTARY,Texas,489952005381,4899520,†,†,†,†,†,†,†,†,†,43,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0.00"
TREASURE HILLS EL,Texas,482253005487,4822530,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,610,635,682,644,614,–,†,†,†,="0",="0",="0",†,8,7,4,5,345,332,331,315,5,3,8,6,348,293,339,318,25.30,36.00,†,32.00,26.90
TRENT ELEMENTARY,Texas,484311004899,4843110,†,†,†,†,†,†,†,†,†,101,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,7.00
TRENT INDEPENDENT SCHOOL DISTRICT,Texas,484311004900,4843110,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,173,196,183,192,90,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,21,25,28,25,="0",="0",1,†,152,171,154,167,18.00,18.00,†,18.00,8.00
TRENTON EL,Texas,484314004901,4843140,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,183,195,186,179,167,–,†,†,†,4,="0",="0",†,1,="0",="0",†,14,11,7,5,9,4,3,8,155,180,176,166,12.50,13.00,†,7.00,8.50
TRENTON H S,Texas,484314004902,4843140,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,148,153,145,137,132,–,†,†,†,1,="0",="0",†,="0",="0",1,†,12,9,6,3,3,8,9,8,132,136,129,126,10.70,11.00,†,11.00,9.30
TRIMBLE TECHNICAL H S,Texas,481970001920,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1811,2117,2134,2221,2340,–,†,†,†,2,2,1,2,3,2,2,5,648,705,686,718,1076,1262,1352,1398,82,146,93,98,104.30,104.00,†,104.00,97.00
TRINIDAD ELEMENTARY,Texas,484317004903,4843170,†,†,†,†,†,†,†,†,†,156,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,9.90
TRINIDAD JR HIGH,Texas,484317004905,4843170,†,†,†,†,†,†,†,†,†,28,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,2.00
TRINIDAD SCHOOL,Texas,484317004904,4843170,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,239,257,233,254,78,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,7,11,14,14,50,43,42,51,189,203,177,189,20.10,20.00,†,23.00,8.10
TRINITY H S,Texas,484320004907,4843200,6-Small town,6-Small town,6-Small town,6-Small town,†,271,299,305,311,497,–,†,†,†,="0",="0",="0",†,1,1,1,†,2,3,4,2,71,87,89,99,197,208,211,210,21.10,21.00,†,22.00,32.00
TRINITY H S,Texas,482406002682,4824060,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,1952,2003,2104,2210,2268,–,†,†,†,8,6,8,10,149,132,134,127,115,101,93,69,76,70,62,82,1604,1694,1807,1922,107.70,108.00,†,115.00,107.10
TRINITY HEIGHTS GIFTED AND TALENTED SCHOOL,Texas,481623001341,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,688,680,796,837,936,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,84,76,82,88,602,601,709,747,2,3,5,2,43.50,43.00,†,45.00,35.60
TRINITY J H,Texas,484320006489,4843200,6-Small town,6-Small town,6-Small town,6-Small town,†,310,242,244,255,†,–,†,†,†,="0",="0",="0",†,2,="0",="0",2,7,2,4,5,97,66,73,71,204,174,167,177,16.90,17.00,†,16.00,†
TROUP EL,Texas,484323004909,4843230,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,412,404,409,434,446,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,34,26,23,24,81,79,80,74,297,299,306,336,23.40,23.00,†,24.00,21.50
TROUP H S,Texas,484323004910,4843230,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,224,226,238,267,252,–,†,†,†,1,1,="0",†,1,1,2,2,4,3,4,3,52,53,45,43,166,168,187,219,17.50,18.00,†,19.00,17.70
TROUP MIDDLE,Texas,484323004911,4843230,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,210,190,172,173,187,–,†,†,†,="0",="0",1,†,="0",="0",="0",†,14,9,7,4,32,33,29,30,164,148,135,139,13.00,13.00,†,11.00,14.00
TROUT EL,Texas,482855003237,4828550,5-Large town,5-Large town,5-Large town,5-Large town,†,438,474,497,468,466,–,†,†,†,1,="0",="0",†,1,1,1,1,19,19,17,13,145,144,154,141,272,310,325,313,31.70,32.00,†,27.00,29.00
TROY EL,Texas,484326004912,4843260,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,346,333,538,498,408,–,†,†,†,2,="0",="0",†,1,1,="0",1,67,54,91,92,4,3,14,15,272,275,433,390,23.10,23.00,†,26.00,20.00
TROY H S,Texas,484326004913,4843260,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,307,282,291,251,234,–,†,†,†,="0",1,1,2,="0",1,2,2,42,39,42,37,5,5,5,6,260,236,241,204,17.90,18.00,†,22.00,19.00
TRUITT MIDDLE,Texas,481611006843,4816110,1-Large city,†,†,†,†,1009,†,†,†,†,–,†,†,†,3,†,†,†,91,†,†,†,230,†,†,†,140,†,†,†,545,†,†,†,68.70,†,†,†,†
TRUMAN MIDDLE,Texas,481815001631,4818150,1-Large city,1-Large city,1-Large city,1-Large city,†,486,484,487,496,449,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,482,482,482,493,2,1,2,2,2,1,3,1,32.50,33.00,†,32.00,32.70
TUBBS EL                                          ,Texas,482850003214,4828500,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,534,567,550,540,484,–,†,†,†,1,1,3,4,8,14,11,18,324,347,360,376,5,4,8,6,196,201,168,136,35.80,36.00,†,35.00,33.40
TULIA EL,Texas,484332004919,4843320,6-Small town,6-Small town,6-Small town,6-Small town,†,487,504,491,475,490,–,†,†,†,="0",1,="0",†,="0",1,="0",1,256,251,244,207,31,28,29,36,200,223,218,231,30.90,31.00,†,26.00,25.30
TULIA H S,Texas,484332004918,4843320,6-Small town,6-Small town,6-Small town,6-Small town,†,325,322,328,343,348,–,†,†,†,="0",="0",="0",†,1,1,="0",†,121,111,120,120,35,35,32,27,168,175,176,196,28.70,29.00,†,31.00,29.00
TULIA J H,Texas,484332004920,4843320,6-Small town,6-Small town,6-Small town,6-Small town,†,211,198,192,196,215,–,†,†,†,="0",="0",="0",†,="0",="0",1,1,94,84,74,83,17,15,21,21,100,99,96,91,19.50,19.00,†,18.00,18.30
TULOSO-MIDWAY H S,Texas,484335004923,4843350,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,850,795,829,872,758,–,†,†,†,="0",="0",="0",†,3,2,2,1,440,406,387,370,8,9,5,5,399,378,435,496,65.30,65.00,†,61.00,62.10
TULOSO-MIDWAY INT,Texas,484335006052,4843350,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,592,658,622,408,420,–,†,†,†,1,1,="0",†,="0",1,1,1,320,320,304,200,2,7,4,3,269,329,313,204,36.70,37.00,†,24.00,25.00
TULOSO-MIDWAY MIDDLE,Texas,484335004924,4843350,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,622,658,649,657,686,–,†,†,†,="0",="0",="0",†,2,1,2,3,333,349,333,331,4,4,6,4,283,304,308,319,46.30,46.00,†,42.00,41.30
TULOSO-MIDWAY PRI,Texas,484335006490,4843350,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,374,395,420,635,†,–,†,†,†,1,="0",="0",†,="0",="0",="0",1,180,205,222,329,6,4,6,5,187,186,192,300,24.90,25.00,†,37.00,†
TULOSO-MIDWAY PRIMARY,Texas,484335005820,4843350,†,†,†,†,†,†,†,†,†,670,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,42.50
TURNER EL,Texas,484590006631,4845900,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,†,582,432,442,†,†,–,†,†,†,2,1,="0",†,1,="0",="0",†,52,23,21,†,63,49,57,†,464,359,364,†,26.00,26.00,†,†,†
TURNER EL,Texas,482364002600,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,541,571,606,553,545,–,†,†,†,="0",="0",="0",†,4,2,1,2,8,5,10,3,528,564,594,548,1,="0",1,†,30.00,30.00,†,35.00,32.40
TURNER H S,Texas,481305000806,4813050,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,2095,2022,2000,2028,1926,–,†,†,†,10,10,9,8,163,163,152,135,593,488,412,365,124,123,99,82,1205,1238,1328,1438,17.10,128.00,†,128.00,108.50
TURNER MIDDLE,Texas,484473005094,4844730,6-Small town,6-Small town,6-Small town,6-Small town,†,382,374,378,382,366,–,†,†,†,1,1,="0",†,1,1,1,2,55,73,64,68,78,65,63,74,247,234,250,238,19.70,20.00,†,20.00,21.00
TWAIN EL,Texas,482364002601,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,447,440,428,427,433,–,†,†,†,="0",="0",="0",†,31,36,27,34,203,202,191,172,90,91,100,110,123,111,110,111,29.50,30.00,†,23.00,19.00
TWAIN MIDDLE,Texas,483873004402,4838730,1-Large city,1-Large city,1-Large city,1-Large city,†,901,854,880,902,1003,–,†,†,†,="0",="0",="0",†,13,12,12,13,809,778,804,803,39,18,16,29,40,46,48,57,48.00,48.00,†,47.00,48.40
TWIN CREEKS MIDDLE,Texas,484122006044,4841220,1-Large city,1-Large city,1-Large city,1-Large city,†,1101,1038,983,930,980,–,†,†,†,="0",="0",1,1,19,14,13,12,83,75,81,79,87,80,69,52,912,869,819,786,60.90,61.00,†,54.00,60.30
TX SCH FOR DEAF EL,Texas,489950005832,4899500,†,†,2-Midsize city,2-Midsize city,†,†,†,114,115,122,†,†,†,†,†,†,="0",†,†,†,1,2,†,†,35,30,†,†,14,18,†,†,64,65,†,†,†,="0.00",="0.00"
TX SCH FOR DEAF H S-MID,Texas,489950005833,4899500,†,†,2-Midsize city,2-Midsize city,†,†,†,268,244,250,†,†,†,†,†,†,="0",†,†,†,1,2,†,†,49,44,†,†,43,35,†,†,175,163,†,†,†,23.00,="0.00"
TYE EL,Texas,483034003398,4830340,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,188,180,194,208,221,–,†,†,†,="0",="0",="0",†,1,1,1,2,18,23,20,23,3,1,1,4,166,155,172,179,14.60,15.00,†,16.00,15.00
TYNAN EL,Texas,483873004403,4838730,1-Large city,1-Large city,1-Large city,1-Large city,†,265,264,238,233,219,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,67,74,54,52,194,185,182,181,4,5,2,†,19.00,19.00,†,16.00,12.90
TYRRELL EL,Texas,483540004012,4835400,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,672,697,696,686,644,–,†,†,†,="0",="0",="0",†,33,32,29,33,54,52,48,44,230,216,208,218,386,397,411,391,38.00,38.00,†,37.00,27.70
TYRRELL PARK ELEMENTARY,Texas,480967005963,4809670,†,†,†,2-Midsize city,†,†,†,†,84,102,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,2,†,†,†,49,†,†,†,33,†,†,†,4.00,9.00
UMPHREY LEE EL,Texas,481623001303,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,690,738,707,730,728,–,†,†,†,="0",1,1,1,="0",="0",="0",†,14,19,12,31,672,704,679,683,4,14,15,15,43.50,44.00,†,35.00,34.00
UNDERWOOD EL,Texas,480828000199,4808280,6-Small town,6-Small town,6-Small town,6-Small town,†,408,393,391,308,360,–,†,†,†,="0",1,="0",†,1,4,2,2,204,215,198,172,6,7,7,6,197,166,184,128,25.50,26.00,†,21.00,24.80
UNION ELEMENTARY,Texas,484359004956,4843590,†,†,†,†,†,†,†,†,†,39,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,7.00
UNION GROVE EL,Texas,484353004952,4843530,6-Small town,6-Small town,6-Small town,6-Small town,†,340,330,353,338,356,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,5,7,9,4,="0",="0",="0",†,335,323,344,334,20.70,21.00,†,20.00,18.50
UNION GROVE H S,Texas,484353004953,4843530,6-Small town,6-Small town,6-Small town,6-Small town,†,275,285,272,267,251,–,†,†,†,2,1,1,†,="0",="0",="0",†,3,9,7,5,="0",="0",="0",†,270,275,264,262,22.60,23.00,†,22.00,20.10
UNION HILL H S,Texas,484356004955,4843560,6-Small town,6-Small town,6-Small town,6-Small town,†,144,130,133,122,129,–,†,†,†,="0",="0",="0",†,="0",="0",1,1,4,="0",="0",†,49,42,48,42,91,88,84,79,11.50,12.00,†,15.00,9.80
UNION SCHOOL,Texas,484359004957,4843590,6-Small town,6-Small town,6-Small town,6-Small town,†,92,106,80,94,33,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,59,66,55,69,1,1,2,3,32,39,23,22,14.70,15.00,†,14.00,5.60
UNITED D D HACHAR EL,Texas,484365006794,4843650,2-Midsize city,2-Midsize city,†,†,†,830,594,†,†,†,–,†,†,†,="0",="0",†,†,="0",="0",†,†,826,589,†,†,="0",="0",†,†,4,5,†,†,31.60,32.00,†,†,†
UNITED H S,Texas,484365004962,4843650,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,2324,2778,2482,2194,1940,–,†,†,†,1,3,1,1,13,16,12,16,2077,2520,2223,1946,1,2,1,2,232,237,245,229,147.20,146.00,†,123.00,93.00
UNITED MIDDLE,Texas,484365006337,4843650,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,677,953,870,730,644,–,†,†,†,1,="0",="0",†,8,7,6,2,605,863,791,670,="0",="0",1,1,63,83,72,57,54.70,55.00,†,45.00,41.00
UNITED SOUTH H S,Texas,484365006922,4843650,2-Midsize city,†,†,†,†,811,†,†,†,†,–,†,†,†,1,†,†,†,="0",†,†,†,797,†,†,†,1,†,†,†,12,†,†,†,49.90,†,†,†,†
UNITED SOUTH MIDDLE,Texas,484365021066,4843650,2-Midsize city,†,†,†,†,617,†,†,†,†,–,†,†,†,="0",†,†,†,1,†,†,†,603,†,†,†,1,†,†,†,12,†,†,†,33.30,†,†,†,†
UNIVERSITY H S,Texas,484428005059,4844280,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,935,969,928,942,928,–,†,†,†,="0",1,="0",†,5,4,8,5,403,409,364,366,320,312,320,319,207,243,236,252,64.30,64.00,†,63.00,60.10
UNIVERSITY HOSPITAL SCHOOL                        ,Texas,483312003703,4833120,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,4,5,7,3,8,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,2,3,6,2,="0",="0",="0",†,2,2,1,1,1.00,1.00,†,="0.00",1.00
UNIVERSITY MIDDLE,Texas,484428005060,4844280,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,624,667,603,606,607,–,†,†,†,="0",="0",1,†,3,3,="0",2,312,315,288,255,169,196,186,193,140,153,128,156,47.10,47.00,†,40.00,45.20
UNIVERSITY PARK ELEMENTARY,Texas,482325002360,4823250,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,644,605,563,543,529,–,†,†,†,1,1,="0",†,15,22,16,10,12,9,7,8,1,="0",1,1,615,573,539,524,37.60,38.00,†,34.00,28.50
URBAN PARK EL,Texas,481623001378,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,641,710,658,564,351,–,†,†,†,1,1,4,2,5,4,2,3,308,405,362,285,120,51,45,43,207,249,245,231,37.50,37.00,†,6.00,12.00
UTOPIA ELEMENTARY,Texas,484368004964,4843680,†,†,†,†,†,†,†,†,†,93,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,7.50
UTOPIA SCHOOL,Texas,484368004965,4843680,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,148,167,166,170,79,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,4,2,3,2,="0",="0",1,1,144,165,162,167,15.10,15.00,†,18.00,5.60
UVALDE H S,Texas,484372004971,4843720,6-Small town,6-Small town,6-Small town,6-Small town,†,1282,971,1024,1064,998,–,†,†,†,="0",="0",="0",†,3,5,1,2,978,720,725,728,2,3,2,2,299,243,296,332,59.50,59.00,†,61.00,52.10
UVALDE J H,Texas,484372006053,4843720,†,6-Small town,6-Small town,6-Small town,†,†,721,730,728,767,†,†,†,†,†,="0",="0",†,†,1,2,2,†,559,555,544,†,1,2,2,†,160,171,180,†,45.00,†,52.00,46.10
UVALDE MIDDLE,Texas,484372004972,4843720,†,6-Small town,6-Small town,6-Small town,†,†,378,391,360,371,†,†,†,†,†,="0",="0",†,†,="0",1,1,†,296,303,273,†,1,1,1,†,81,86,85,†,23.00,†,25.00,24.60
V M ADAMS EL,Texas,482247002270,4822470,1-Large city,1-Large city,1-Large city,1-Large city,†,735,711,698,694,658,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,696,678,658,656,4,3,3,1,35,30,37,37,42.60,43.00,†,40.00,34.50
VALENTINE ELEMENTARY SCHOOL,Texas,484374004974,4843740,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,29,42,34,34,48,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,20,25,11,21,="0",="0",="0",†,12,17,23,13,7.50,8.00,†,6.00,5.00
VALENTINE SCHOOL,Texas,484374004975,4843740,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,25,31,36,47,34,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,17,22,25,26,="0",="0",="0",†,14,9,11,21,6.00,6.00,†,7.00,8.00
VALLEY ELEMENTARY,Texas,484340004925,4843400,†,†,†,7-Rural - outside CBSA/MSA,†,†,†,†,178,189,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,70,†,†,†,15,†,†,†,93,†,†,†,10.00,10.80
VALLEY HI EL,Texas,483312003723,4833120,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,274,265,279,288,295,–,†,†,†,="0",="0",="0",†,2,="0",1,1,186,173,174,172,11,17,21,19,75,75,83,96,11.70,12.00,†,19.00,23.90
VALLEY MILLS EL,Texas,484376004976,4843760,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,257,269,275,302,279,–,†,†,†,="0",="0",="0",†,2,="0",="0",†,21,20,18,20,18,22,22,29,216,227,235,253,18.50,18.00,†,16.00,12.00
VALLEY MILLS H S,Texas,484376004977,4843760,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,220,219,211,189,198,–,†,†,†,="0",="0",="0",†,1,="0",="0",†,14,10,5,1,13,10,7,6,192,199,199,182,15.50,15.00,†,17.00,16.30
VALLEY OAKS EL,Texas,484110004701,4841100,1-Large city,1-Large city,1-Large city,1-Large city,†,692,569,553,644,893,–,†,†,†,1,1,1,1,19,16,16,36,403,348,341,387,41,25,26,33,228,179,169,187,37.90,38.00,†,42.00,42.60
VALLEY SCHOOL,Texas,484340004926,4843400,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,240,291,312,140,134,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,61,95,109,37,22,25,30,20,157,171,173,83,27.00,27.00,†,18.00,15.00
VALLEY VIEW EARLY COLLEGE CAMPUS,Texas,484380006181,4843800,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,319,467,447,401,424,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,436,467,447,401,="0",="0",="0",†,="0",="0",="0",†,27.20,20.00,†,24.00,21.80
VALLEY VIEW EL,Texas,484380006795,4843800,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,†,†,469,469,†,†,†,–,†,†,†,="0",="0",†,†,="0",="0",†,†,469,468,†,†,="0",="0",†,†,="0",1,†,†,25.70,26.00,†,†,†
VALLEY VIEW EL,Texas,481776005699,4817760,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,584,539,489,512,498,–,†,†,†,1,="0",="0",†,20,18,13,10,14,14,13,11,3,1,3,5,546,506,460,486,38.00,38.00,†,40.00,38.50
VALLEY VIEW EL                                    ,Texas,480744000037,4807440,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,450,486,463,450,459,–,†,†,†,2,1,4,2,4,10,8,10,227,212,204,167,52,63,50,64,165,200,197,207,27.90,28.00,†,27.00,23.00
VALLEY VIEW EL,Texas,482811003151,4828110,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,452,440,414,434,459,–,†,†,†,2,1,="0",†,3,4,2,3,102,54,51,41,150,155,161,173,195,226,200,217,23.90,24.00,†,25.00,21.00
VALLEY VIEW ELEMENTARY,Texas,484386004979,4843860,†,†,†,†,†,†,†,†,†,230,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,15.70
VALLEY VIEW H S,Texas,484386004980,4843860,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,506,540,526,513,130,–,†,†,†,2,="0",="0",1,1,="0",="0",†,37,34,30,31,="0",="0",="0",†,511,506,496,481,16.30,34.00,†,33.00,10.70
VALLEY VIEW INT               ,Texas,484380004978,4843800,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,467,340,315,651,661,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,467,340,315,651,="0",="0",="0",†,="0",="0",="0",†,22.60,23.00,†,43.00,26.40
VALLEY VIEW MIDDLE,Texas,484668005344,4846680,1-Large city,1-Large city,1-Large city,1-Large city,†,913,1151,1175,1212,1185,–,†,†,†,1,="0",="0",†,1,3,1,2,872,1090,1109,1155,3,5,12,13,36,53,53,42,68.60,24.00,†,76.00,60.00
VALLEY VIEW MIDDLE SCHOOL,Texas,484386006182,4843860,†,†,†,†,†,†,†,†,†,144,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,3.00
VALLEYVIEW J H,Texas,481281005967,4812810,6-Small town,6-Small town,6-Small town,6-Small town,†,817,792,734,875,756,–,†,†,†,1,1,="0",2,4,3,2,2,54,51,34,35,6,4,3,5,752,733,695,831,43.90,44.00,†,43.00,40.20
