Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District],Total Number Operational Schools [Public School] 1995-96,Total Number Operational Schools [Public School] 1994-95,Total Number Operational Schools [Public School] 1993-94,Total Number Operational Schools [Public School] 1992-93,Total Number Operational Schools [Public School] 1991-92,Locale [District] 1995-96,Locale [District] 1994-95,Locale [District] 1993-94,Locale [District] 1992-93,Locale [District] 1991-92,School District Level Code (SCHLEV) [District Finance] 1995-96,School District Level Code (SCHLEV) [District Finance] 1994-95,School District Level Code (SCHLEV) [District Finance] 1991-92,Total Students All Grades (Excludes AE) [District] 1995-96,Total Students All Grades (Excludes AE) [District] 1994-95,Total Students All Grades (Excludes AE) [District] 1993-94,Total Students All Grades (Excludes AE) [District] 1992-93,Total Students All Grades (Excludes AE) [District] 1991-92,Individualized Education Program Students [District] 1995-96,Individualized Education Program Students [District] 1994-95,Individualized Education Program Students [District] 1993-94,Individualized Education Program Students [District] 1992-93,Individualized Education Program Students [District] 1991-92,American Indian/Alaska Native Students [Public School] 1995-96,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1993-94,American Indian/Alaska Native Students [Public School] 1992-93,American Indian/Alaska Native Students [Public School] 1991-92,Asian or Asian/Pacific Islander Students [Public School] 1995-96,Asian or Asian/Pacific Islander Students [Public School] 1994-95,Asian or Asian/Pacific Islander Students [Public School] 1993-94,Asian or Asian/Pacific Islander Students [Public School] 1992-93,Asian or Asian/Pacific Islander Students [Public School] 1991-92,Hispanic Students [Public School] 1995-96,Hispanic Students [Public School] 1994-95,Hispanic Students [Public School] 1993-94,Hispanic Students [Public School] 1992-93,Hispanic Students [Public School] 1991-92,Black or African American Students [Public School] 1995-96,Black or African American Students [Public School] 1994-95,Black or African American Students [Public School] 1993-94,Black or African American Students [Public School] 1992-93,Black or African American Students [Public School] 1991-92,White Students [Public School] 1995-96,White Students [Public School] 1994-95,White Students [Public School] 1993-94,White Students [Public School] 1992-93,White Students [Public School] 1991-92,Total General Revenue (TOTALREV) [District Finance] 1995-96,Total General Revenue (TOTALREV) [District Finance] 1994-95,Total General Revenue (TOTALREV) [District Finance] 1991-92,Total Expenditures (TOTALEXP) [District Finance] 1995-96,Total Expenditures (TOTALEXP) [District Finance] 1994-95,Total Expenditures (TOTALEXP) [District Finance] 1991-92,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1995-96,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1994-95,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1991-92,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1995-96,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1994-95,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1991-92,Total Current Expenditures - Non El-Sec Programs (TNONELSE) per Pupil (V33) [District Finance] 1995-96,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 1995-96
SPEARMAN ISD,Texas,4841010,HANSFORD,3,3,3,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,804,751,800,814,837,107,89,84,88,77,0,0,0,0,0,0,0,1,1,1,290,234,231,206,203,1,0,0,0,0,513,517,572,607,626,5006000,4683000,4146000,4650000,4401000,3799000,6226,6236,4953,5784,5860,4539,0,5456
SPLENDORA ISD,Texas,4841070,MONTGOMERY,4,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2556,2459,2359,2266,2137,362,330,298,294,286,3,2,4,1,1,4,1,2,1,2,173,154,152,135,113,7,7,8,6,5,2369,2295,2200,2123,2015,14800000,13871000,10421000,15273000,12760000,11645000,5790,5641,4876,5975,5187,5449,25,4716
SPRING BRANCH ISD,Texas,4841100,HARRIS,36,36,36,35,35,1-Large city,1-Large city,1-Large city,1-Large city,1-Large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,29543,28442,27663,27404,27135,3176,2898,2815,2598,2527,33,24,27,21,23,2382,2357,2374,2366,2282,12732,11766,11040,10532,9882,2179,2097,2046,1988,2038,12217,12198,12247,12497,12870,193715000,194886000,138962000,217302000,182018000,146300000,6557,6852,5121,7355,6400,5392,36,5418
SPRING CREEK ISD,Texas,4841130,HUTCHINSON,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,91,102,66,57,42,15,15,11,9,5,0,0,0,0,0,0,0,0,1,0,9,10,5,1,0,2,3,2,2,0,80,89,59,53,42,844000,783000,371000,782000,821000,310000,9275,7676,8833,8451,7931,7381,0,6802
SPRING HILL ISD,Texas,4841190,GREGG,4,4,4,4,4,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1605,1627,1578,1513,1512,177,175,160,148,135,1,3,0,0,2,4,6,4,3,4,73,70,61,52,58,37,28,36,33,28,1490,1520,1480,1425,1420,7653000,7290000,6468000,7073000,6846000,6499000,4768,4481,4278,4407,4208,4298,1,4258
SPRING ISD,Texas,4841220,HARRIS,22,22,22,22,22,3-Urban fringe of large city,1-Large city,1-Large city,1-Large city,1-Large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,20246,19736,19367,19256,18807,2048,1986,1910,1867,1679,69,61,56,58,47,1147,1080,1015,942,924,3653,3281,3100,2905,2640,4018,3687,3373,3126,2905,11359,11627,11824,12225,12291,115753000,106815000,90303000,125556000,105451000,90013000,5717,5412,4802,6200,5341,4786,7,5012
SPRINGLAKE-EARTH ISD,Texas,4841250,LAMB,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,480,540,496,494,515,76,88,60,60,60,0,0,0,0,0,0,0,0,0,0,262,309,261,253,270,12,18,18,22,22,206,213,220,219,223,3358000,3240000,3102000,3295000,3033000,2875000,6996,6000,6023,6865,5617,5583,10,6506
SPRINGTOWN ISD,Texas,4841280,PARKER,7,6,5,5,5,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2856,2821,2715,2649,2589,388,395,356,349,318,12,17,17,13,12,7,5,7,7,8,118,108,113,99,86,8,9,9,3,3,2711,2682,2572,2527,2480,16544000,15075000,11214000,14975000,13906000,10209000,5793,5344,4331,5243,4927,3943,0,4959
SPUR ISD,Texas,4800002,DICKENS,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,384,416,421,419,413,41,56,52,45,46,0,0,1,1,0,3,3,3,2,2,126,128,134,120,123,26,29,35,38,30,229,256,248,258,258,2931000,2637000,2328000,2908000,2918000,2170000,7633,6339,5637,7570,7012,5254,0,6549
SPURGER ISD,Texas,4841340,TYLER,3,3,3,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,401,406,387,395,354,69,60,66,78,68,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,13,14,13,16,16,386,389,374,379,338,3024000,2519000,2061000,3313000,2384000,1632000,7541,6204,5822,8262,5872,4610,0,5613
STAFFORD MSD,Texas,4841350,FORT BEND,4,4,4,4,3,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2263,2117,1957,1809,1675,230,194,155,109,116,9,6,6,11,9,308,273,242,190,171,854,815,758,692,626,350,293,235,200,161,742,730,718,716,708,15468000,13534000,9184000,17776000,16289000,11503000,6835,6393,5483,7848,7690,6867,1,5221
STAMFORD ISD,Texas,4841400,JONES,4,4,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,842,855,829,840,856,148,135,119,115,109,2,0,0,0,0,0,0,2,2,1,269,278,277,274,286,109,113,98,103,100,462,464,452,461,469,6187000,5471000,4854000,6126000,5531000,4589000,7348,6399,5671,7276,6469,5361,0,6548
STANTON ISD,Texas,4841430,MARTIN,3,3,3,3,3,6-Small town,6-Small town,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,867,866,887,875,845,106,107,106,90,82,2,1,1,2,3,0,0,0,0,0,477,459,469,458,413,23,18,18,21,24,365,388,406,394,403,6207000,6099000,5000000,6363000,5923000,5123000,7159,7043,5917,7336,6835,6063,21,6525
STAR ISD,Texas,4841460,MILLS,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,108,121,124,92,75,30,35,37,17,12,0,0,0,0,0,0,0,0,0,0,23,30,32,25,19,1,3,0,0,0,84,88,92,67,56,1279000,1223000,594000,1026000,1436000,488000,11843,10107,7920,9500,11868,6507,0,8972
STEPHENVILLE ISD,Texas,4841520,ERATH,6,6,6,6,5,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,3353,3365,3252,3158,3069,414,426,358,319,297,9,3,1,1,2,17,33,24,20,18,465,446,387,366,332,33,26,25,29,18,2829,2857,2830,2742,2680,15942000,15435000,11818000,17652000,13913000,10277000,4755,4587,3851,5265,4135,3349,2,4370
STERLING CITY ISD,Texas,4841550,STERLING,3,4,3,3,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,373,371,388,386,356,70,67,65,60,48,0,0,1,2,1,0,0,0,0,0,127,127,131,118,105,1,0,0,0,0,245,244,256,266,249,4712000,6065000,2782000,3597000,2707000,2569000,12633,16348,7815,9625,7275,7216,78,6912
STOCKDALE ISD,Texas,4841610,WILSON,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,731,700,688,693,690,95,82,101,99,110,2,4,2,0,0,0,0,0,0,0,293,282,292,281,274,9,8,11,10,7,427,406,389,402,409,3916000,3536000,2997000,3376000,3184000,2677000,5357,5051,4343,4584,4523,3880,0,4376
STRATFORD ISD,Texas,4841670,SHERMAN,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,529,531,521,521,492,73,80,91,81,66,1,0,0,0,0,0,1,0,3,3,177,178,180,171,161,1,2,2,1,1,350,350,341,346,327,3712000,3714000,2832000,4068000,3661000,2587000,7017,6994,5756,7690,6895,5258,0,6129
STRAWN ISD,Texas,4841700,PALO PINTO,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,194,199,204,187,168,31,32,23,12,13,3,2,2,1,0,0,0,0,0,0,36,36,40,30,30,0,0,0,0,0,155,161,162,156,138,1553000,1339000,920000,1437000,1248000,964000,8005,6729,5476,7407,6271,5738,0,6046
SUDAN ISD,Texas,4841760,LAMB,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,388,405,388,379,394,63,56,39,29,38,2,1,2,2,2,0,0,0,0,4,146,147,138,130,142,29,32,34,34,41,211,225,214,213,205,7996000,7916000,3902000,6514000,3290000,3006000,20608,19546,9904,16789,8123,7629,0,8474
SULPHUR BLUFF ISD,Texas,4841790,HOPKINS,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,226,222,231,229,235,21,28,24,21,20,0,0,0,0,0,1,1,1,1,1,24,20,25,26,36,2,2,2,5,2,199,199,205,197,196,1408000,1324000,1233000,1383000,1327000,1762000,6230,5964,5247,6119,5977,7498,0,5650
SULPHUR SPRINGS ISD,Texas,4841820,HOPKINS,8,8,8,8,8,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,3909,4020,4032,4031,3978,492,513,541,529,504,2,2,4,3,3,19,17,19,22,20,267,238,230,227,197,563,585,557,533,538,3058,3178,3222,3246,3205,21040000,20124000,16764000,24021000,18800000,14829000,5382,5006,4214,6145,4655,3728,0,4795
SUNDOWN ISD,Texas,4841850,HOCKLEY,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,579,590,611,631,611,35,38,18,39,45,6,6,4,2,0,0,0,0,0,0,286,288,303,294,291,5,5,6,5,5,282,291,299,330,315,10666000,10961000,6829000,7428000,5143000,6641000,18421,18578,11177,12812,8717,10869,0,8463
SUNNYVALE ISD,Texas,4841880,DALLAS,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,1-Large city,1-Large city,1-Large city,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,367,355,334,343,310,38,49,21,13,19,3,0,1,2,0,0,0,2,0,2,14,13,15,17,13,1,2,1,2,4,349,340,315,322,291,2981000,2751000,1717000,3601000,1932000,1660000,8123,7749,5539,9812,5442,5355,0,5229
SUNRAY ISD,Texas,4841910,MOORE,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,595,594,560,549,561,69,66,49,46,53,5,5,3,4,2,0,0,0,0,1,238,217,195,183,173,1,1,1,1,1,351,371,361,361,381,4023000,3827000,3022000,3712000,5138000,2784000,6761,6443,5387,6239,8650,4963,0,5933
SWEENY ISD,Texas,4841970,BRAZORIA,3,3,3,3,3,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2304,2286,2237,2262,2158,252,227,217,227,237,8,8,5,5,6,5,4,4,4,3,257,271,240,266,235,494,485,470,483,461,1540,1518,1524,1504,1451,15015000,15093000,11137000,11657000,11131000,10030000,6517,6602,5161,5059,4869,4648,0,4976
SWEET HOME ISD,Texas,4842000,LAVACA,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,88,76,63,72,71,9,11,6,6,10,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,0,0,0,0,0,87,76,62,68,69,544000,425000,379000,438000,428000,400000,6182,5592,5338,4977,4658,5634,0,4114
SWEETWATER ISD,Texas,4842030,NOLAN,8,8,8,7,7,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2851,2875,2867,2838,2859,570,522,526,477,423,4,4,3,1,4,3,1,3,4,7,1096,1068,1071,1053,1044,249,242,232,209,208,1499,1560,1561,1571,1596,15325000,15697000,12382000,17868000,21157000,12118000,5375,5460,4331,6255,7346,4239,2,5458
TAFT ISD,Texas,4842060,SAN PATRICIO,5,5,4,4,4,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1490,1559,1537,1530,1540,116,121,122,127,115,1,1,1,1,1,2,2,2,2,4,1243,1315,1293,1306,1313,51,47,45,45,45,193,194,196,176,177,9553000,8654000,7502000,8536000,8179000,6833000,6411,5551,4871,5719,5239,4437,6,5438
TAHOKA ISD,Texas,4842090,LYNN,3,3,3,2,2,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,787,756,764,714,701,81,83,87,75,68,0,0,0,0,0,4,4,1,0,0,396,389,385,345,337,50,49,57,46,45,337,314,321,323,319,5117000,4422000,3627000,5025000,4268000,3669000,6502,5849,5174,6385,5646,5234,0,5680
TARKINGTON ISD,Texas,4842210,LIBERTY,4,4,4,4,4,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1570,1573,1465,1457,1457,171,153,157,145,135,2,1,1,1,2,0,0,2,0,2,49,44,38,36,33,24,18,29,23,25,1495,1510,1399,1397,1393,7950000,7390000,6637000,7203000,7424000,5957000,5064,4698,4555,4582,4713,4089,0,4136
TATUM ISD,Texas,4842240,RUSK,4,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1230,1210,1180,1189,1175,135,140,149,137,138,2,1,1,2,2,0,0,0,0,0,176,162,137,135,129,293,298,282,293,284,759,749,760,759,760,10935000,11548000,7687000,10204000,7407000,6890000,8890,9544,6542,8296,6121,5864,14,6288
TAYLOR ISD,Texas,4842280,WILLIAMSON,4,4,4,4,4,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2702,2706,2627,2579,2478,504,499,482,466,390,11,10,9,8,9,4,2,3,4,8,1032,1017,942,910,866,529,539,537,525,516,1126,1138,1138,1132,1079,17936000,15681000,11700000,16495000,14676000,11076000,6638,5795,4722,6105,5424,4470,35,5490
TEAGUE ISD,Texas,4842300,FREESTONE,4,4,4,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1170,1170,1104,1123,1108,149,109,81,106,101,1,1,2,1,1,1,1,1,0,0,123,114,99,90,86,214,232,219,232,209,831,822,783,800,812,6699000,6469000,4670000,5880000,5081000,4142000,5726,5529,4215,5026,4343,3738,3,4502
TEMPLE ISD,Texas,4842330,BELL,19,18,19,19,18,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,8852,8613,8483,8355,8081,981,903,817,823,785,34,32,26,22,18,102,86,83,83,89,1795,1722,1590,1563,1483,2299,2181,2132,2040,2002,4622,4592,4714,4647,4484,50441000,48186000,35634000,47032000,45160000,28373000,5698,5595,4410,5313,5242,3511,3,5019
TENAHA ISD,Texas,4842360,SHELBY,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,372,380,393,384,401,69,93,95,78,80,1,2,2,2,2,0,0,0,0,0,38,46,38,31,24,142,136,147,150,158,191,196,206,201,217,2613000,2634000,2409000,2745000,2533000,1926000,7024,6932,6007,7355,6666,4803,0,6433
TERLINGUA CSD,Texas,4842390,BREWSTER,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,101,101,96,88,93,1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,64,62,64,69,70,0,0,0,0,0,37,39,32,19,23,709000,694000,718000,681000,584000,562000,7020,6871,7720,6743,5782,6043,0,6396
TERRELL COUNTY ISD,Texas,4842420,TERRELL,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,246,284,286,302,309,38,46,34,32,42,3,3,1,1,1,2,2,2,2,2,144,160,172,184,200,2,1,1,1,0,95,118,110,114,103,3560000,3328000,2503000,3316000,2803000,2298000,14472,11718,8100,13480,9870,7437,0,9886
TERRELL ISD,Texas,4842450,KAUFMAN,9,8,7,7,7,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,3839,3792,3801,3882,3818,534,517,480,495,482,5,5,7,4,2,41,41,53,48,55,474,435,411,374,354,1364,1366,1347,1430,1397,1955,1945,1983,2026,2005,22651000,19440000,16462000,22020000,19154000,16053000,5900,5127,4312,5736,5050,4205,29,5011
TEXARKANA ISD,Texas,4842480,BOWIE,12,12,11,11,11,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,5535,5502,5451,5516,5612,662,674,643,645,681,20,18,11,10,9,41,40,30,33,39,135,106,100,72,64,2718,2649,2537,2507,2488,2621,2689,2781,2894,3012,28520000,27609000,24352000,26398000,27434000,23469000,5153,5018,4339,4769,4979,4182,91,4446
TEXAS CITY ISD,Texas,4842510,GALVESTON,8,8,8,9,9,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,5906,6049,6107,6105,6110,782,742,698,737,738,18,15,16,13,16,55,65,56,61,57,1413,1421,1423,1423,1380,1047,1089,1096,1047,1030,3373,3459,3550,3561,3599,54670000,53263000,30498000,55601000,43748000,28310000,9257,8805,4991,9401,7227,4633,4,5615
TEXHOMA ISD,Texas,4842540,SHERMAN,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,308,287,264,242,72,33,33,32,28,8,0,2,1,0,0,0,0,0,0,0,57,50,37,37,20,0,0,0,0,0,251,235,226,205,52,1133000,1262000,521000,1015000,705000,426000,3679,12495,7236,3237,6446,5917,0,2386
TEXLINE ISD,Texas,4842570,DALLAM,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,185,154,171,171,167,27,10,18,21,19,0,0,1,0,0,0,0,0,0,0,47,35,28,27,22,0,0,0,0,0,138,119,142,144,145,1435000,1216000,1289000,1343000,1250000,1242000,7757,7896,7719,7259,8117,7437,0,6692
THORNDALE ISD,Texas,4842630,MILAM,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,445,422,421,389,399,77,66,66,49,60,5,5,1,1,1,0,0,0,0,0,79,82,83,64,75,29,29,25,17,24,332,306,313,307,299,2958000,2433000,2006000,2666000,2319000,1860000,6647,5765,5028,5991,5495,4662,0,5697
THRALL ISD,Texas,4842660,WILLIAMSON,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,465,489,481,499,496,69,81,75,69,53,1,0,0,0,0,1,0,0,0,0,94,90,93,89,87,36,48,41,47,48,333,351,347,363,361,2716000,2491000,2204000,2738000,2539000,2037000,5841,5094,4444,5888,5192,4107,0,5574
THREE RIVERS ISD,Texas,4842690,LIVE OAK,3,4,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,808,832,817,825,817,114,129,123,91,91,2,1,1,1,0,2,1,1,1,0,393,395,402,386,397,4,8,4,6,7,407,427,414,431,413,5427000,5416000,4099000,5228000,4890000,4231000,6717,6510,5017,6470,5877,5179,5,6219
THREE WAY ISD,Texas,4842730,BAILEY,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,113,127,128,138,129,4,10,12,8,5,0,0,0,0,0,0,0,0,0,0,58,69,71,87,78,0,0,0,0,0,55,58,57,51,49,1096000,1859000,1130000,1310000,1334000,1146000,9699,14638,8760,11593,10504,8884,0,10876
THREE WAY ISD,Texas,4842720,ERATH,1,1,1,1,1,6-Small town,6-Small town,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,61,55,53,37,38,7,4,2,5,4,0,0,0,0,0,0,0,0,0,0,27,21,23,12,14,0,0,0,0,0,34,34,30,25,24,390000,362000,263000,383000,272000,190000,6393,6582,6921,6279,4945,5000,0,5279
